x,y,value
0.936709,0.0506329,0.616029
0.949367,0.0506329,0.538032
0.962025,0.0506329,0.451862
0.974684,0.0506329,0.356431
0.987342,0.0506329,0.250412
1,0.0506329,0.132215
0,0.0632911,0.120034
0.0126582,0.0632911,0.225677
0.0253165,0.0632911,0.318473
0.0379747,0.0632911,0.399812
0.0506329,0.0632911,0.470917
0.0632911,0.0632911,0.532846
0.0759494,0.0632911,0.586522
0.0886076,0.0632911,0.632754
0.101266,0.0632911,0.672274
0.113924,0.0632911,0.705757
0.126582,0.0632911,0.733844
0.139241,0.0632911,0.757164
0.151899,0.0632911,0.776335
0.164557,0.0632911,0.791969
0.177215,0.0632911,0.804659
0.189873,0.0632911,0.81496
0.202532,0.0632911,0.82337
0.21519,0.0632911,0.830312
0.227848,0.0632911,0.836135
0.240506,0.0632911,0.841118
0.253165,0.0632911,0.845491
0.265823,0.0632911,0.849441
0.278481,0.0632911,0.853131
0.291139,0.0632911,0.856707
0.303797,0.0632911,0.860305
0.316456,0.0632911,0.864059
0.329114,0.0632911,0.868106
0.341772,0.0632911,0.872588
0.35443,0.0632911,0.877658
0.367089,0.0632911,0.88348
0.379747,0.0632911,0.890234
0.392405,0.0632911,0.898117
0.405063,0.0632911,0.907335
0.417722,0.0632911,0.918106
0.43038,0.0632911,0.930644
0.443038,0.0632911,0.945148
0.455696,0.0632911,0.961779
0.468354,0.0632911,0.980637
0.481013,0.0632911,1.00173
0.493671,0.0632911,1.02494
0.506329,0.0632911,1.05005
0.518987,0.0632911,1.0767
0.531646,0.0632911,1.10444
0.544304,0.0632911,1.13277
0.556962,0.0632911,1.16116
0.56962,0.0632911,1.18912
0.582278,0.0632911,1.21618
0.594937,0.0632911,1.24191
0.607595,0.0632911,1.26595
0.620253,0.0632911,1.28798
0.632911,0.0632911,1.30774
0.64557,0.0632911,1.325
0.658228,0.0632911,1.33957
0.670886,0.0632911,1.3513
0.683544,0.0632911,1.36003
0.696203,0.0632911,1.36565
0.708861,0.0632911,1.36804
0.721519,0.0632911,1.3671
0.734177,0.0632911,1.36273
0.746835,0.0632911,1.35484
0.759494,0.0632911,1.34331
0.772152,0.0632911,1.32804
0.78481,0.0632911,1.30891
0.797468,0.0632911,1.28579
0.810127,0.0632911,1.25854
0.822785,0.0632911,1.227
0.835443,0.0632911,1.19098
0.848101,0.0632911,1.15028
0.860759,0.0632911,1.10464
0.873418,0.0632911,1.05381
0.886076,0.0632911,0.997439
0.898734,0.0632911,0.935161
0.911392,0.0632911,0.866529
0.924051,0.0632911,0.791016
0.936709,0.0632911,0.708
0.949367,0.0632911,0.616739
0.962025,0.0632911,0.516354
0.974684,0.0632911,0.405799
0.987342,0.0632911,0.283852
1,0.0632911,0.149108
0,0.0759494,0.130468
0.0126582,0.0759494,0.246282
0.0253165,0.0759494,0.348756
0.0379747,0.0759494,0.439108
0.0506329,0.0759494,0.518439
0.0632911,0.0759494,0.587739
0.0759494,0.0759494,0.64789
0.0886076,0.0759494,0.699696
0.101266,0.0759494,0.743899
0.113924,0.0759494,0.781208
0.126582,0.0759494,0.812318
0.139241,0.0759494,0.837929
0.151899,0.0759494,0.858756
0.164557,0.0759494,0.875526
0.177215,0.0759494,0.888964
0.189873,0.0759494,0.899753
0.202532,0.0759494,0.908499
0.21519,0.0759494,0.915701
0.227848,0.0759494,0.921749
0.240506,0.0759494,0.926946
0.253165,0.0759494,0.931527
0.265823,0.0759494,0.935685
0.278481,0.0759494,0.939587
0.291139,0.0759494,0.943384
0.303797,0.0759494,0.94722
0.316456,0.0759494,0.951237
0.329114,0.0759494,0.955584
0.341772,0.0759494,0.960418
0.35443,0.0759494,0.965913
0.367089,0.0759494,0.972256
0.379747,0.0759494,0.97966
0.392405,0.0759494,0.98836
0.405063,0.0759494,0.998613
0.417722,0.0759494,1.0107
0.43038,0.0759494,1.02489
0.443038,0.0759494,1.04149
0.455696,0.0759494,1.06072
0.468354,0.0759494,1.08276
0.481013,0.0759494,1.10765
0.493671,0.0759494,1.1353
0.506329,0.0759494,1.16542
0.518987,0.0759494,1.19753
0.531646,0.0759494,1.23105
0.544304,0.0759494,1.26531
0.556962,0.0759494,1.29963
0.56962,0.0759494,1.33338
0.582278,0.0759494,1.36597
0.594937,0.0759494,1.3969
0.607595,0.0759494,1.42575
0.620253,0.0759494,1.45214
0.632911,0.0759494,1.47578
0.64557,0.0759494,1.49642
0.658228,0.0759494,1.51386
0.670886,0.0759494,1.52791
0.683544,0.0759494,1.53843
0.696203,0.0759494,1.54529
0.708861,0.0759494,1.54836
0.721519,0.0759494,1.54754
0.734177,0.0759494,1.54271
0.746835,0.0759494,1.53377
0.759494,0.0759494,1.52061
0.772152,0.0759494,1.50311
0.78481,0.0759494,1.48113
0.797468,0.0759494,1.45454
0.810127,0.0759494,1.42318
0.822785,0.0759494,1.38688
0.835443,0.0759494,1.34542
0.848101,0.0759494,1.29858
0.860759,0.0759494,1.24611
0.873418,0.0759494,1.18769
0.886076,0.0759494,1.12298
0.898734,0.0759494,1.05158
0.911392,0.0759494,0.973026
0.924051,0.0759494,0.886774
0.936709,0.0759494,0.792193
0.949367,0.0759494,0.688549
0.962025,0.0759494,0.574991
0.974684,0.0759494,0.450536
0.987342,0.0759494,0.314067
1,0.0759494,0.164339
0,0.0886076,0.139532
0.0126582,0.0886076,0.264202
0.0253165,0.0886076,0.375138
0.0379747,0.0886076,0.4734
0.0506329,0.0886076,0.559972
0.0632911,0.0886076,0.635756
0.0759494,0.0886076,0.701581
0.0886076,0.0886076,0.758217
0.101266,0.0886076,0.806396
0.113924,0.0886076,0.846836
0.126582,0.0886076,0.880268
0.139241,0.0886076,0.907454
0.151899,0.0886076,0.929209
0.164557,0.0886076,0.946393
0.177215,0.0886076,0.959894
0.189873,0.0886076,0.970565
0.202532,0.0886076,0.979148
0.21519,0.0886076,0.986219
0.227848,0.0886076,0.992192
0.240506,0.0886076,0.997365
0.253165,0.0886076,1.00196
0.265823,0.0886076,1.00616
0.278481,0.0886076,1.01013
0.291139,0.0886076,1.014
0.303797,0.0886076,1.01793
0.316456,0.0886076,1.02206
0.329114,0.0886076,1.02655
0.341772,0.0886076,1.03157
0.35443,0.0886076,1.03729
0.367089,0.0886076,1.04395
0.379747,0.0886076,1.05177
0.392405,0.0886076,1.06103
0.405063,0.0886076,1.07204
0.417722,0.0886076,1.08515
0.43038,0.0886076,1.10073
0.443038,0.0886076,1.11917
0.455696,0.0886076,1.14083
0.468354,0.0886076,1.16599
0.481013,0.0886076,1.1948
0.493671,0.0886076,1.22717
0.506329,0.0886076,1.26276
0.518987,0.0886076,1.30093
0.531646,0.0886076,1.3409
0.544304,0.0886076,1.38177
0.556962,0.0886076,1.42266
0.56962,0.0886076,1.46277
0.582278,0.0886076,1.5014
0.594937,0.0886076,1.53796
0.607595,0.0886076,1.57197
0.620253,0.0886076,1.60302
0.632911,0.0886076,1.63079
0.64557,0.0886076,1.65503
0.658228,0.0886076,1.6755
0.670886,0.0886076,1.69203
0.683544,0.0886076,1.70447
0.696203,0.0886076,1.71269
0.708861,0.0886076,1.71655
0.721519,0.0886076,1.71595
0.734177,0.0886076,1.71077
0.746835,0.0886076,1.70091
0.759494,0.0886076,1.68623
0.772152,0.0886076,1.66663
0.78481,0.0886076,1.64195
0.797468,0.0886076,1.61205
0.810127,0.0886076,1.57675
0.822785,0.0886076,1.53588
0.835443,0.0886076,1.48921
0.848101,0.0886076,1.43651
0.860759,0.0886076,1.37748
0.873418,0.0886076,1.31183
0.886076,0.0886076,1.23918
0.898734,0.0886076,1.15913
0.911392,0.0886076,1.0712
0.924051,0.0886076,0.974837
0.936709,0.0886076,0.869425
0.949367,0.0886076,0.754251
0.962025,0.0886076,0.628501
0.974684,0.0886076,0.491263
0.987342,0.0886076,0.341519
1,0.0886076,0.178159
0,0.101266,0.147434
0.0126582,0.101266,0.279836
0.0253165,0.101266,0.39817
0.0379747,0.101266,0.503358
0.0506329,0.101266,0.596269
0.0632911,0.101266,0.67771
0.0759494,0.101266,0.748438
0.0886076,0.101266,0.809172
0.101266,0.101266,0.860607
0.113924,0.101266,0.90345
0.126582,0.101266,0.93844
0.139241,0.101266,0.966389
0.151899,0.101266,0.988208
0.164557,0.101266,1.00492
0.177215,0.101266,1.01763
0.189873,0.101266,1.02744
0.202532,0.101266,1.03529
0.21519,0.101266,1.04181
0.227848,0.101266,1.04741
0.240506,0.101266,1.05234
0.253165,0.101266,1.05677
0.265823,0.101266,1.06085
0.278481,0.101266,1.06473
0.291139,0.101266,1.06854
0.303797,0.101266,1.07241
0.316456,0.101266,1.07651
0.329114,0.101266,1.08097
0.341772,0.101266,1.08598
0.35443,0.101266,1.09173
0.367089,0.101266,1.09845
0.379747,0.101266,1.10641
0.392405,0.101266,1.11592
0.405063,0.101266,1.12734
0.417722,0.101266,1.1411
0.43038,0.101266,1.15768
0.443038,0.101266,1.17761
0.455696,0.101266,1.20141
0.468354,0.101266,1.22956
0.481013,0.101266,1.26236
0.493671,0.101266,1.29981
0.506329,0.101266,1.34148
0.518987,0.101266,1.38652
0.531646,0.101266,1.43382
0.544304,0.101266,1.48217
0.556962,0.101266,1.53043
0.56962,0.101266,1.57761
0.582278,0.101266,1.62288
0.594937,0.101266,1.66556
0.607595,0.101266,1.70513
0.620253,0.101266,1.74116
0.632911,0.101266,1.77333
0.64557,0.101266,1.80137
0.658228,0.101266,1.82506
0.670886,0.101266,1.84422
0.683544,0.101266,1.85872
0.696203,0.101266,1.86841
0.708861,0.101266,1.87318
0.721519,0.101266,1.87292
0.734177,0.101266,1.8675
0.746835,0.101266,1.85683
0.759494,0.101266,1.84077
0.772152,0.101266,1.81919
0.78481,0.101266,1.79196
0.797468,0.101266,1.75892
0.810127,0.101266,1.71988
0.822785,0.101266,1.67466
0.835443,0.101266,1.62302
0.848101,0.101266,1.56472
0.860759,0.101266,1.49947
0.873418,0.101266,1.42695
0.886076,0.101266,1.34678
0.898734,0.101266,1.25854
0.911392,0.101266,1.16177
0.924051,0.101266,1.05593
0.936709,0.101266,0.940399
0.949367,0.101266,0.814504
0.962025,0.101266,0.677477
0.974684,0.101266,0.528473
0.987342,0.101266,0.366564
1,0.101266,0.190755
0,0.113924,0.154347
0.0126582,0.113924,0.293513
0.0253165,0.113924,0.418324
0.0379747,0.113924,0.529572
0.0506329,0.113924,0.628012
0.0632911,0.113924,0.714353
0.0759494,0.113924,0.789268
0.0886076,0.113924,0.853401
0.101266,0.113924,0.907389
0.113924,0.113924,0.951893
0.126582,0.113924,0.98763
0.139241,0.113924,1.01543
0.151899,0.113924,1.03629
0.164557,0.113924,1.05142
0.177215,0.113924,1.06225
0.189873,0.113924,1.07026
0.202532,0.113924,1.07673
0.21519,0.113924,1.08231
0.227848,0.113924,1.08728
0.240506,0.113924,1.09178
0.253165,0.113924,1.0959
0.265823,0.113924,1.09973
0.278481,0.113924,1.10339
0.291139,0.113924,1.10699
0.303797,0.113924,1.11066
0.316456,0.113924,1.11455
0.329114,0.113924,1.11882
0.341772,0.113924,1.12362
0.35443,0.113924,1.12917
0.367089,0.113924,1.1357
0.379747,0.113924,1.14349
0.392405,0.113924,1.15288
0.405063,0.113924,1.16428
0.417722,0.113924,1.17821
0.43038,0.113924,1.19527
0.443038,0.113924,1.21615
0.455696,0.113924,1.24162
0.468354,0.113924,1.27246
0.481013,0.113924,1.30926
0.493671,0.113924,1.3522
0.506329,0.113924,1.4008
0.518987,0.113924,1.45384
0.531646,0.113924,1.50968
0.544304,0.113924,1.56665
0.556962,0.113924,1.62327
0.56962,0.113924,1.67835
0.582278,0.113924,1.73091
0.594937,0.113924,1.78024
0.607595,0.113924,1.8258
0.620253,0.113924,1.86715
0.632911,0.113924,1.90397
0.64557,0.113924,1.93603
0.658228,0.113924,1.96311
0.670886,0.113924,1.98506
0.683544,0.113924,2.00175
0.696203,0.113924,2.01304
0.708861,0.113924,2.01883
0.721519,0.113924,2.01901
0.734177,0.113924,2.01347
0.746835,0.113924,2.00211
0.759494,0.113924,1.98479
0.772152,0.113924,1.96139
0.78481,0.113924,1.93177
0.797468,0.113924,1.89576
0.810127,0.113924,1.85318
